id,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
1, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
2, الرياض,   حي القادسية ,جنوب,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000
3, الرياض,   حي القادسية ,جنوب,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000
4, الرياض,   حي المعيزلة ,غرب,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
5, الرياض,   حي العليا ,غرب,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000
6, الرياض,   حي الازدهار ,شرق,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000
7, الرياض,   حي المهدية ,شمال,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000
8, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
9, الرياض,   حي الحزم ,جنوب شرقي,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000
10, الرياض,   حي العليا ,جنوب غربي,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000
11, الرياض,   حي العارض ,شمال,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000
12, الرياض,   حي الصحافة ,شرق,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000
14, الرياض,   حي العارض ,جنوب,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000
15, الرياض,   حي النسيم الغربي ,شرق,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000
17, الرياض,   حي النرجس ,شمال غربي,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000
19, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000
20, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
21, الرياض,   حي الياسمين ,جنوب,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000
22, الرياض,   حي المونسية ,جنوب,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000
23, الرياض,   حي السليمانية ,شمال,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000
24, الرياض,   حي العارض ,شرق,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
26, الرياض,   حي المونسية ,شمال غربي,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000
27, الرياض,   حي المرسلات ,غرب,400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000
28, الرياض,   حي العقيق ,غرب,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000
29, الرياض,   حي المونسية ,شرق,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000
30, الرياض,   حي الرحمانية ,شمال,450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000
31, الرياض,   حي الرمال ,غرب,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000
32, الرياض,   حي القادسية ,غرب,250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000
33, الرياض,   حي النرجس ,شرق,270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000
34, الرياض,   حي الرمال ,شمال غربي,350,0,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,40000
35, الرياض,   حي طويق ,جنوب غربي,400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000
36, الرياض,   حي الملقا ,شمال,200,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,120000
