,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
0,Riyadh,   حي العارض ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
1,Riyadh,   حي القادسية ,South,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000
2,Riyadh,   حي القادسية ,South,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000
3,Riyadh,   حي المعيزلة ,West,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
4,Riyadh,   حي العليا ,West,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000
5,Riyadh,   حي الازدهار ,East,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000
6,Riyadh,   حي المهدية ,North,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000
8,Riyadh,   حي الحزم ,Southeast,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000
9,Riyadh,   حي العليا ,Southwest,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000
10,Riyadh,   حي العارض ,North,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000
11,Riyadh,   حي الصحافة ,East,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000
12,Riyadh,   حي بنبان ,North,840,0,5,5,2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,150000
13,Riyadh,   حي العارض ,South,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000
14,Riyadh,   حي النسيم الغربي ,East,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000
15,Riyadh,   حي الازدهار ,East,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,250000
16,Riyadh,   حي النرجس ,Northwest,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000
17,Riyadh,   حي الملز ,Southwest,750,28,7,5,3,1,1,1,1,0,0,1,1,1,0,0,0,0,1,80000
18,Riyadh,   حي العارض ,North,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000
